feature,value,0,1,2,3,4
num_mlp_2_1_outputs,6,-1.7923261,-2.1707306,-0.376243,1.1234145,3.0007644
num_mlp_2_1_outputs,7,0.08255025,0.0592702,0.51894736,0.04781177,0.021357166
ones,_,-0.5320517,-0.27418417,0.2869023,0.9134645,0.6089024
positions,0,-0.18827528,-0.050663356,-0.080628514,0.57013655,-0.17630357
positions,1,4.4280815,-0.17312928,-1.6591017,-2.9784818,-6.5995207
positions,2,0.6424207,3.0996659,-0.91869926,0.3267228,-4.179829
positions,3,-4.8753185,6.2638125,2.628386,-1.2090383,-1.5802482
positions,4,-3.3885798,0.38202652,1.4794348,1.8573796,-0.6801657
positions,5,-5.418601,-12.837205,-3.6183794,6.1636915,6.207015
positions,6,-2.9829006,-4.7077255,-0.55268323,-2.701602,3.6548634
positions,7,0.21708699,0.20202476,-0.6149757,-0.33105364,-0.080922596
tokens,0,1.6473855,0.9728868,-0.09213942,-0.91740304,-1.626645
tokens,1,-0.18540315,3.563692,0.55842894,-1.4290718,-2.3539505
tokens,2,-0.55262953,-0.30234304,0.75317687,0.23907681,-0.3900496
tokens,3,-2.5599766,-1.8167756,-0.0175247,1.8270705,1.1088947
tokens,4,-3.6444004,-4.018656,-1.6886637,0.13313042,5.728995
tokens,</s>,0.04200101,-0.40545195,0.013609225,0.09960658,0.5024134
tokens,<pad>,-0.5511278,0.46506375,0.3841737,0.14639618,-0.19061072
tokens,<s>,-0.06390025,-0.12532307,0.18164091,0.4903216,-0.07924292
